task_idx,bin_start_utc,bin_end_utc,x_Delta,x_Theta,x_Alpha,x_Beta,x_Gamma,theta_h,radius,dtheta,d2theta,kappa_torus,dr,d2r,kappa_geom
11,2026-01-31 14:55:18.506500+00:00,2026-01-31 14:55:18.756500+00:00,305.0349070710604,6.23278267558321,13.516607068535794,42.9181169535064,24.43440830304732,-1.507601021025629,1.1542221857339572,0.9642898297307756,-0.6057398671405496,0.6057398671405496,0.9375596122404191,1.1369478946493883,1.1369478946493883
11,2026-01-31 14:55:18.631500+00:00,2026-01-31 14:55:18.881500+00:00,296.3130425563298,13.193468913789285,14.915001535641021,45.281482399964304,29.24465964243685,-1.4599872547678039,1.529053119204498,0.047613766257825096,-0.9166760634729505,0.9166760634729505,0.37483093347054086,-0.5627286787698782,0.5627286787698782
11,2026-01-31 14:55:18.756500+00:00,2026-01-31 14:55:19.006500+00:00,474.68596430496956,19.95032085796977,13.770197513725709,41.26895429893881,19.110851776313837,-1.6072125126627836,0.684281803622243,-0.14722525789497976,-0.19483902415280485,0.19483902415280485,-0.844771315582255,-1.2196022490527958,1.2196022490527958
11,2026-01-31 14:55:18.881500+00:00,2026-01-31 14:55:19.131500+00:00,701.4580764536169,14.624205686001329,6.563738150442573,35.95702209525341,8.937591700603786,2.6140089715962955,0.2082391038135263,-2.0619638229205077,-1.914738565025528,1.914738565025528,-0.4760426998087167,0.3687286157735383,0.3687286157735383
11,2026-01-31 14:55:19.006500+00:00,2026-01-31 14:55:19.256500+00:00,831.5507937832947,7.214256883587044,2.595318279123846,23.631369187880185,4.377646222876388,1.8515252108979567,0.534593213540273,-0.7624837606983387,1.2994800622221692,1.2994800622221692,0.3263541097267467,0.8023968095354634,0.8023968095354634
11,2026-01-31 14:55:19.131500+00:00,2026-01-31 14:55:19.381500+00:00,1038.2958294034029,7.086404501769325,3.15299215703572,13.13326924691505,4.551820020328431,1.6219892347882188,0.5794847409491296,-0.22953597610973797,0.5329477845886007,0.5329477845886007,0.0448915274088566,-0.2814625823178901,0.2814625823178901
11,2026-01-31 14:55:19.256500+00:00,2026-01-31 14:55:19.506500+00:00,1527.303073992219,8.925016529438988,4.798630451632978,11.98230098714248,8.729073229716603,1.193121150791802,0.2933718539551896,-0.42886808399641674,-0.19933210788667877,0.19933210788667877,-0.28611288699394,-0.3310044144027966,0.3310044144027966
11,2026-01-31 14:55:19.381500+00:00,2026-01-31 14:55:19.631500+00:00,2292.3522032065175,9.584199081815381,4.408160015157337,15.061878828363145,11.406859611811061,0.21070873927735617,0.1963205559442553,-0.9824124115144459,-0.5535443275180292,0.5535443275180292,-0.09705129801093432,0.18906158898300568,0.18906158898300568
11,2026-01-31 14:55:19.506500+00:00,2026-01-31 14:55:19.756500+00:00,4094.092113041935,29.10094115640604,6.223221472963821,19.064394044860823,13.646185536625426,-0.30474084418895053,0.3346964350989232,-0.5154495834663066,0.46696282804813927,0.46696282804813927,0.13837587915466792,0.23542717716560224,0.23542717716560224
11,2026-01-31 14:55:19.631500+00:00,2026-01-31 14:55:19.881500+00:00,8050.889250277536,88.02892633505239,22.9898670695409,23.46577768780267,16.51966099606874,-0.2218076484604976,0.5448023811818893,0.08293319572845292,0.5983827791947596,0.5983827791947596,0.21010594608296607,0.07173006692829814,0.07173006692829814
