label,event_task,J,dh,kappa_E,kappa_Q
P7,18,0.12665285655166003,0.006707275380665567,0.8030055343946024,6.684532106197421
P7,19,-0.08064566059866746,-0.010396837786894614,0.4547965852785072,2.8872748093693903
P7,21,0.08894975299798785,0.0387024075719254,0.7965273809631749,2.8506306832280783
P7,23,-0.06365099857517792,-0.0145166150550665,0.6068835976411923,3.638482547984273
P7,24,0.06843976172034827,0.0228623854841547,0.5439271583915175,2.302361288297075
P7,26,-0.24727188319432591,-0.043277100663313715,0.24963237173406297,5.17287803277324
P7,27,0.1556514096309406,0.042996748533078485,1.3113870547624946,8.438885072062481
P8,3,0.03151858235131372,0.010990685511091947,0.5433192399849257,19.625416901756385
P8,6,-0.1093601778819403,-0.013072532004821542,1.0790596087469073,4.08358924941062
P8,8,0.09503467463425369,0.02455355951622089,0.2785304061554771,0.1390168545955863
P8,10,-0.1264963232941444,-0.025298916513019357,0.2739615280568518,1.941719682246605
P8,14,0.08693673262603735,0.021870092784010614,1.0539435062797937,1.5150256009094365
P8,15,-0.0028567440790028265,-0.015919952637971854,0.8304407014426681,2.1707084265796937
P8,16,0.05904495424742262,0.03527636361666746,0.6593277561804695,1.1985762040053851
P8,19,-0.10970760272936486,-0.02258430166680076,0.28027139760462183,5.88446946886108
P8,20,0.09819350650403119,0.026292092162645993,0.6983318080090023,1.1681164113848492
P8,22,-0.20845939176490336,-0.03488110570646208,0.34878999470207644,2.8427358883763154
P8,24,0.1335365104300883,0.027555831051519132,0.8958030162545831,2.0212822314607495
P8,26,-0.0689091350590807,-0.01767594080763222,0.3924450022611948,3.8914391137508466
P9,4,0.09306725995305282,0.02467130501073332,0.8343926638996013,2.5211521141925206
P9,5,-0.05227478935197938,-0.03159023765290983,0.4894646075134724,0.4374675004977414
P9,14,0.13678956506640516,0.02608576040041983,1.154344338965612,22.14583369187423
P9,15,-0.07468725713167129,-0.019644152254852207,0.6128166556144445,6.2334044898558085
P9,20,0.13501129192573325,0.033200110173128176,1.0063483298947231,0.9297911441248324
P9,22,-0.05376016215215629,-0.015541180470959166,0.6570832305268788,0.9421854801165
P9,25,0.19385055164657639,0.016267411293030075,0.835956586734271,0.4179860564646044
P9,26,-0.05843765040210086,-0.01324355585644724,0.43848684879900995,0.9267042930982452
P10,18,0.18201361239500569,0.021095559143634014,0.8055470247136173,5.906364371922067
P10,19,-0.12037015082637254,-0.02289274546374479,0.5413290395700248,14.320320444649994
