label,task_idx,J,phi,dphi,J_tilde,g_t,E,Q,dE,dQ,phase,distance,r_local,lag_local,phi_z,dphi_z,J_z,distance_z,phase_z,r_local_z,J_tilde_z,g_t_z
P3,16,0.07904037215058,0.3313409490425841,0.3543574432841408,0.37090354163632755,0.39216434051228444,-8.93579718843921,-0.004114631655002,-0.6673043088330317,-0.0010631667410907,-3.1399994286885766,8.95649655582914,0.3960311142418912,1.0,0.2131716985946338,0.39678612435814686,0.8685261553547258,1.3410995758732365,-1.7699811134940922,0.6196963021308682,0.8097886800609894,-0.6493525780073061
P3,17,-0.1184950182559681,0.346740747654603,0.0153997986120189,0.4870580381103732,0.4510877610094263,-9.056599061099783,-0.0002347313473508,-0.1208018726605733,0.0038799003076512,3.109485808448841,9.057222555382126,-0.5599602669702829,0.0,0.23569597616927462,-0.006821611443382818,-1.2822198822430244,1.4428052644579246,0.8178364967508375,-0.7019701088798987,1.081399887386805,-0.2100142296740925
P3,19,0.0575452168132074,4.868765531267678e-05,0.16426768869815753,0.15090394116266076,0.5648047529622106,-7.320436563058736,-0.0009486100213371,-0.3086170462303093,0.0100117592528198,3.1091633063944326,7.326419876743566,0.8142743099329915,-1.0,-0.2713878103844964,0.1704401585613552,0.63448900345878,-0.3048316814783498,0.8177029535126233,1.197921162984552,0.295350075360037,0.6378699393106477
P3,21,-0.0200892232905345,1.9305664468291999,1.6619680530081662,-0.5466964191763523,0.27692229266580115,-6.373140604231271,-0.0031601525902136,-0.18484193081659228,-0.0021448993503655,-3.1299892090845485,6.372599874430826,0.9393265601743837,1.0,2.552254171301498,1.9538000043999504,-0.2107871978872033,-1.2679288018999382,-1.7658360324848936,1.3708069881222151,-1.335891777984325,-1.5086077015598667
P3,26,0.0211040290106788,-0.08218190758442667,0.12987306113883615,0.289053373930168,0.5102087461944808,-6.855280394085927,-0.0030609065331523,-0.42276166357290634,0.0021159250577750996,3.136587688446744,6.865379295488243,0.868262741718602,0.0,-0.3916611203784515,0.12948537270195154,0.23772090985115585,-0.770356471405023,0.8290589766300673,1.272560640156105,0.6183933958030268,0.2307971788267784
P4,3,-0.0802217177760503,-0.22021045028306077,-0.8174480130790993,-0.19009429964398716,0.7010679374551305,-6.641527749714132,-0.0160028144527858,2.681902585617652,0.0148057218432413,0.005520547805774086,7.142197585374208,0.6124403827705154,0.0,-0.6125887848795436,-1.0804235328371479,-0.9185796323748661,-0.7684860404453545,0.44614063534005943,0.73567951806734,-0.9922648168966858,1.8186055486151163
P4,5,0.0385879186713413,-0.11067512374350515,0.5012394048316811,0.36818996642531504,0.4502898289204739,-9.004770019210701,-0.0205665497860154,-3.89561351365505,-0.012379313554087099,-3.138414907172804,9.787513465270754,-0.412604178240312,1.0,-0.444188474989947,0.31725596202969447,0.07946554269303989,1.4410512394148305,-1.1803354980387875,-0.9260569788375921,0.1739126060672028,0.15585849646471775
P4,7,0.0231964931641496,0.18050578887999322,-0.8517926753054539,-0.0628753996340857,0.6018932923293038,-6.068454947144666,-0.0344502019491595,1.7879513679987769,-0.019130161643141,-0.01069907830547813,6.298790115555119,-0.5366370554156488,0.0,0.0034749178975070263,-1.116825510667463,-0.04982816128754345,-1.4729539872943758,0.43774961232446136,-1.1271311239607393,-0.7265224021759547,1.1610427741186278
P4,11,0.1052393430231758,0.5661013385983379,0.8774866043122651,1.0242228943020677,0.4868473261783656,-8.341069948545757,-0.0301386904866477,-2.6029423809700685,-0.010681113991012802,-3.1374891996991834,8.705825454973457,-0.7626931786895887,1.0,0.5962919762478041,0.7160411392995562,0.6393623193758574,0.5375561210839582,-1.1798565947235333,-1.4935988119827226,1.5442732551272949,0.3982475596677976
P4,12,-0.0738563430614852,1.0849321350458936,0.5188307964475557,-0.5509735970627915,0.2063544715266913,-6.717024620539514,-0.027524614376583,1.6240453280062424,0.0026140761100647003,0.0016096064607560112,6.883200537328508,0.20838761075765622,0.0,1.3939457529997534,0.3359011140298814,-0.8651081151534158,-0.9848169661316636,0.44411735819337267,0.08065507964950268,-1.7460909851101352,-1.4615187091924227
P4,16,0.0369215409964274,0.07329442514721797,0.4614613459298984,0.4850535312903532,0.44910839415198417,-7.85198065179297,-0.0335223653300208,2.4282191995031583,-0.0239135002367367,-0.009847845364378806,8.193976126051066,0.35756788116403226,-1.0,-0.16135251674537737,0.2750951159356972,0.06546734988630476,0.11002677288011672,0.4381899871611812,0.3224965657483722,0.4180241800368801,0.1480251684677373
P4,17,0.0328687787369729,0.2952203700765503,0.22192594492933232,0.24131542180836027,0.5471229697255644,-9.725881300343652,-0.0294127400142894,-1.8739006485506815,0.0041096253157314015,3.139399571085477,9.876660626456879,0.493012707187373,1.0,0.1798378469419496,0.021211053855528635,0.0314226381971405,1.5155126591384178,2.0674141981256473,0.5420710303921067,-0.09111049860103898,0.7978962738645653
P4,19,0.1468679976116587,-0.804604549721734,-0.9357556443055923,-0.256616843189233,0.24898797379173418,-7.710756143806987,-0.0151256003416671,-0.4607438922884386,-0.0048455034835173,-3.131076345207938,7.709122699920611,-0.7249237466380917,-1.0,-1.511040001963244,-1.205818033463774,0.9890585148944824,-0.29495386797441625,-1.1765389837463975,-1.4323694312371174,-1.1312210675300645,-1.1788435960086465
P4,20,0.0550060311040734,0.14513896977752674,0.9497435194992607,0.73141958840137,0.397990358829606,-7.235226398337638,-0.0237629310173377,0.47552974546934834,-0.008637330675670598,-0.018161599943359773,7.227698326446543,0.8587902432857344,-1.0,-0.05089825544135998,0.7926263916857507,0.21738379904984922,-0.6970703443877688,0.4338889690279785,1.135046111283432,0.9326482721868014,-0.19090538269023227
P4,22,0.2551147862818764,-0.7129667165008975,-0.8815724327809025,0.46318432830261563,0.22108526682212432,-9.508848739296903,-0.0340519165932441,-1.4013283806234949,-0.010424849542222201,-3.1341535284140636,9.576345203901628,0.7709359290762448,0.0,-1.3701554124931312,-1.1483891366035361,1.8983718364342175,1.2646699802373478,-1.1781309264292135,0.9926223319810994,0.3723424864400411,-1.3638483559210275
P4,23,-0.2193151319961446,1.463964775273433,2.1769314917743303,0.881434795352783,0.38386525668165977,-6.770039993200121,-0.012469794577733,2.7388087460967823,0.0215821220155111,0.007879949755701846,7.283410980847197,0.8807128954640157,0.0,1.9766729524255886,2.0933254367358125,-2.0870160917150673,-0.6505355665210792,0.44736124276523037,1.1705857088963183,1.2460089704556592,-0.28455977738623134
P5,12,0.3015852168278397,1.1259805288730016,1.563993587536816,1.0429150383618047,0.36706224091186496,-8.140712661622407,-0.0046281578982619,-2.134758634919722,-0.0027534011208412996,-3.1403028592547444,8.410785775935919,-0.8884078477611879,-1.0,0.6069361091014494,1.1156577892177775,1.593965216770732,0.2924039528998565,-0.89550201766797,-0.7663617646214147,1.1326971708261446,-0.7240745662274576
P5,15,-0.0208435386907951,-0.2630893583845108,-1.0899643652077804,-1.0782742947311315,0.6208868007261185,-10.46114591689676,-0.0015337840001221,-1.6809187498603269,-0.0007771417791018001,-3.1411303220679425,10.593694435551948,-0.6444279022774972,1.0,-1.0358342920497001,-1.7198584718665797,-0.31629692981017293,2.007169278298206,-0.8958558484423965,-0.26037072495579566,-2.002672273091776,1.1257528018656056
