t,valid,kappa,mq,a,kL,kS,mqL,g,h
163,True,3.0151447425441176,-0.02498889140458609,0.5579045316909254,0.40495608617551254,-0.011391443976809605,0.74648203925025,0.0006922135643109715,0.025232491576014267
164,True,2.8388032882032843,-0.02498889140458609,0.5038922729607827,0.40495608617551254,0.0018598505359829725,0.74648203925025,-0.00397072524631864,0.007171213889407745
165,True,0.5827839908838682,1.5179529699050862,0.48957700898217893,0.35861915787724086,0.012663974793939851,0.10054559643784944,-0.007431742542674091,0.000737927136510913
166,True,0.5862302466720486,1.5179529699050862,0.5035008595901755,0.35861915787724086,0.01547644414094571,-0.5536675970930788,-0.008466537972537793,0.0025910204011948892
167,True,0.7617599588450262,1.5179529699050862,0.49339262794222705,0.35861915787724086,0.01416112372250562,-0.5536675970930788,-0.008003695748207413,0.0009354879387490841
168,True,2.100632236759662,1.5179529699050862,0.5024370612710595,0.3429725296474073,0.009941760169608623,-0.5536675970930788,-0.006388839649737024,0.0044402769463772265
169,True,0.5723740006656879,1.5179529699050862,0.4237143032975511,0.3338012156101078,0.01556487703579594,-0.5536675970930788,-0.008291261096705077,-0.010942121646054244
170,True,0.9765085112529956,1.5179529699050862,0.40156270444603814,0.3240882468966056,0.012830471178498871,-0.5536675970930788,-0.007248286619977807,-0.012560625217888328
171,True,0.3118967645494488,1.5179529699050862,0.42453182183082,0.31650887376713055,0.012524145287438131,-0.5536675970930788,-0.007077462117592603,-0.009621147675906452
172,True,0.3385932715702749,1.5179529699050862,0.42047903399134895,0.31833777863586105,0.008459508258093062,-0.5536675970930788,-0.005662385002072724,-0.008731037528878386
173,True,0.0670864564239308,1.5179529699050862,0.41805480737270784,0.315679318259721,0.0032446050631070584,-0.5536675970930788,-0.0038052272865464775,-0.007180330924388717
174,True,0.1874480034334216,1.5179529699050862,0.3905912903653186,0.31833777863586105,0.0045007791848905255,-0.5536675970930788,-0.004269365518701979,-0.010731366951240027
175,True,0.4707721299873029,1.5179529699050862,0.3775917284819911,0.3240882468966056,0.0015523817618178562,-0.5536675970930788,-0.0032796901330440645,-0.01096484587872984
176,True,0.3290091596499406,1.5179529699050862,0.3528432662169284,0.3240882468966056,0.011805755330206238,-0.5536675970930788,-0.006887703939224755,-0.016502036000718975
177,True,0.2025863607030815,1.5179529699050862,0.3324229648744681,0.3332595609339052,0.023803510560399744,-0.5536675970930788,-0.011185812432636019,-0.02201800906799615
178,True,0.1271618816724353,1.5179529699050862,0.30951325009111597,0.35861915787724086,0.017819095830824694,-0.5536675970930788,-0.009290883207184736,-0.02111275658650765
179,True,0.2821212176728058,1.5179529699050862,0.2775779248083629,0.37567948644223303,0.009912450196706847,-0.5536675970930788,-0.00665052897152399,-0.019237681604231133
180,True,0.369886528029942,-1.3168617770293873,0.2548418769341852,0.4107490445878036,0.004608613025790417,-0.5536675970930788,-0.0050758367490748935,-0.017808648576372495
181,True,0.4400256443210831,-1.3168617770293873,0.266221407135558,0.5066280268082383,0.0020926351549789193,0.06358512959312936,-0.004945286808318121,-0.017644562201101097
182,True,0.3191673341432706,-1.3168617770293873,0.2980193686617533,0.5286065019149684,-0.003546103252239028,0.06358512959312936,-0.0031438774269949943,-0.015320503902911054
183,True,0.0457019325347538,-1.3168617770293873,0.3649760153434965,0.5780421687299623,-0.002131917736516328,0.06358512959312936,-0.004052634028502767,-0.012785154333681985
